date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:04	404/404	---M--	200	added ('OK')	text/plain	etag:%22282c8e-194-398563e8a6a80%22	http://www.ascii-art.de/robots.txt		(from )
19:12:05	9511/9511	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:04%20GMT	http://www.ascii-art.de/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/index.html	(from )
19:12:05	7512/7512	---M--	200	added ('OK')	text/css	etag:%22283b3d-1d58-40363b2f6b180%22	http://www.ascii-art.de/css/ascii.css	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/css/ascii.css	(from http://www.ascii-art.de/)
19:12:06	7025/7025	---M--	200	added ('OK')	text/css	etag:%22283b3f-1b71-398563e1f9ac0%22	http://www.ascii-art.de/css/print.css	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/css/print.css	(from http://www.ascii-art.de/)
19:12:06	318/318	---M--	200	added ('OK')	image/x-icon	etag:%22282c8b-13e-39540ed21e8c0%22	http://www.ascii-art.de/favicon.ico	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/favicon.ico	(from http://www.ascii-art.de/)
19:12:06	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Mar%202016%2011:12:06%20GMT	http://www.ascii-art.de/ascii/anim	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/ascii/anim	(from http://www.ascii-art.de/)
19:12:07	11496/11496	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:06%20GMT	http://www.ascii-art.de/news/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/news/index.html	(from http://www.ascii-art.de/)
19:12:08	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Mar%202016%2011:12:07%20GMT	http://www.ascii-art.de/info/artists	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/info/artists.4.delayed	(from http://www.ascii-art.de/)
19:12:09	21474/21474	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:07%20GMT	http://www.ascii-art.de/ascii/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/ascii/index.html	(from http://www.ascii-art.de/)
19:12:10	9214/9214	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:07%20GMT	http://www.ascii-art.de/info/artists/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/info/artists/index.html	(from http://www.ascii-art.de/)
19:12:10	6441/6441	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:07%20GMT	http://www.ascii-art.de/ascii/my/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/ascii/my/index.html	(from http://www.ascii-art.de/)
19:12:10	11350/11350	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:07%20GMT	http://www.ascii-art.de/ascii/anim/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/ascii/anim/index.html	(from http://www.ascii-art.de/)
19:12:10	12459/12459	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:07%20GMT	http://www.ascii-art.de/info/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/info/index.html	(from http://www.ascii-art.de/)
19:12:10	12146/12146	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:08%20GMT	http://www.ascii-art.de/tools/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/tools/index.html	(from http://www.ascii-art.de/)
19:12:10	7828/7828	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:09%20GMT	http://www.ascii-art.de/info/about/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/info/about/index.html	(from http://www.ascii-art.de/)
19:12:11	7839/7839	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:10%20GMT	http://www.ascii-art.de/info/artists/andreas/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/info/artists/andreas/index.html	(from http://www.ascii-art.de/)
19:12:11	16886/16886	---MC-	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2011:12:10%20GMT	http://www.ascii-art.de/info/copyright/	H:/Ascii-Art.de/Ascii-Art.de/www.ascii-art.de/info/copyright/index.html	(from http://www.ascii-art.de/)
